FraudID,TransactionID,CustomerID,TransactionDate,TransactionAmount,TransactionType,FraudFlag,DetectionMethod,Country
FRD100,TX1000,CUST413,2022-04-19,1953.27,Transfer,Yes,Customer Report,UK
FRD101,TX1001,CUST607,2022-03-03,7160.22,Transfer,No,Customer Report,Canada
FRD102,TX1002,CUST460,2022-01-04,2264.61,Payment,Yes,Manual Review,Australia
FRD103,TX1003,CUST187,2022-01-30,2664.11,Withdrawal,Yes,Manual Review,USA
FRD104,TX1004,CUST643,2022-08-12,7269.06,Withdrawal,No,Manual Review,Germany
FRD105,TX1005,CUST384,2022-11-26,5624.4,Withdrawal,No,Manual Review,USA
FRD106,TX1006,CUST514,2022-03-01,4648.45,Transfer,No,Customer Report,USA
FRD107,TX1007,CUST442,2022-06-21,6821.32,Transfer,Yes,Manual Review,Australia
FRD108,TX1008,CUST438,2022-06-13,2939.61,Withdrawal,No,Automated System,Australia
FRD109,TX1009,CUST755,2022-01-30,1898.28,Payment,Yes,Automated System,Canada
FRD110,TX1010,CUST831,2022-08-17,3117.29,Payment,Yes,Manual Review,UK
FRD111,TX1011,CUST993,2022-01-04,6682.85,Transfer,Yes,Customer Report,USA
FRD112,TX1012,CUST435,2022-01-01,1535.22,Payment,No,Manual Review,Australia
FRD113,TX1013,CUST164,2022-06-03,6687.93,Deposit,No,Automated System,Australia
FRD114,TX1014,CUST724,2022-08-14,1298.07,Deposit,No,Manual Review,Canada
FRD115,TX1015,CUST723,2022-11-18,8802.72,Transfer,No,Manual Review,UK
FRD116,TX1016,CUST429,2022-04-07,1376.35,Withdrawal,No,Automated System,Australia
FRD117,TX1017,CUST887,2022-02-18,9836.49,Transfer,No,Customer Report,Germany
FRD118,TX1018,CUST892,2022-11-26,112.61,Deposit,No,Customer Report,Canada
FRD119,TX1019,CUST735,2022-02-25,2365.73,Payment,Yes,Manual Review,Germany
FRD120,TX1020,CUST948,2022-11-30,8659.74,Deposit,Yes,Customer Report,Canada
FRD121,TX1021,CUST158,2022-02-03,4784.18,Deposit,Yes,Automated System,Australia
FRD122,TX1022,CUST445,2022-01-26,7163.26,Deposit,No,Automated System,Australia
FRD123,TX1023,CUST523,2022-06-25,6562.98,Payment,Yes,Customer Report,USA
FRD124,TX1024,CUST812,2022-04-27,3558.24,Withdrawal,Yes,Manual Review,UK
FRD125,TX1025,CUST675,2022-03-09,8121.1,Deposit,Yes,Manual Review,USA
FRD126,TX1026,CUST373,2022-06-25,1003.04,Transfer,No,Manual Review,Australia
FRD127,TX1027,CUST718,2022-09-24,9971.82,Deposit,No,Manual Review,UK
FRD128,TX1028,CUST629,2022-01-09,2000.29,Deposit,No,Customer Report,UK
FRD129,TX1029,CUST711,2022-01-03,6239.5,Transfer,No,Manual Review,Germany
FRD130,TX1030,CUST511,2022-10-26,6749.18,Transfer,Yes,Manual Review,USA
FRD131,TX1031,CUST478,2022-09-24,2702.01,Transfer,No,Manual Review,Canada
FRD132,TX1032,CUST804,2022-08-08,8990.67,Transfer,Yes,Automated System,Germany
FRD133,TX1033,CUST349,2022-06-27,9208.2,Deposit,Yes,Automated System,Australia
FRD134,TX1034,CUST337,2022-11-15,845.01,Withdrawal,Yes,Automated System,Canada
FRD135,TX1035,CUST412,2022-07-16,1896.03,Deposit,Yes,Customer Report,Canada
FRD136,TX1036,CUST662,2022-10-22,768.77,Deposit,Yes,Manual Review,Germany
FRD137,TX1037,CUST861,2022-06-16,1390.3,Deposit,No,Customer Report,UK
FRD138,TX1038,CUST762,2022-04-08,7433.39,Withdrawal,Yes,Customer Report,Australia
FRD139,TX1039,CUST114,2022-08-29,567.94,Withdrawal,Yes,Customer Report,USA
FRD140,TX1040,CUST155,2022-02-26,2307.05,Payment,Yes,Automated System,Canada
FRD141,TX1041,CUST607,2022-04-08,6815.79,Transfer,Yes,Automated System,Australia
FRD142,TX1042,CUST691,2022-07-20,9314.57,Payment,Yes,Automated System,USA
FRD143,TX1043,CUST727,2022-04-27,8129.25,Transfer,No,Manual Review,Canada
FRD144,TX1044,CUST953,2022-09-14,1703.33,Deposit,Yes,Customer Report,Australia
FRD145,TX1045,CUST700,2022-07-28,5926.41,Deposit,Yes,Customer Report,Germany
FRD146,TX1046,CUST706,2022-05-19,9531.66,Deposit,No,Automated System,Germany
FRD147,TX1047,CUST858,2022-04-18,813.46,Deposit,No,Automated System,Germany
FRD148,TX1048,CUST332,2022-05-24,4774.91,Transfer,No,Manual Review,USA
FRD149,TX1049,CUST334,2022-09-12,5453.33,Transfer,Yes,Automated System,UK
FRD150,TX1050,CUST180,2022-12-30,2727.1,Transfer,Yes,Customer Report,Canada
FRD151,TX1051,CUST432,2022-05-26,4057.86,Deposit,Yes,Customer Report,Germany
FRD152,TX1052,CUST543,2022-05-24,7404.4,Deposit,No,Customer Report,UK
