ComplianceID,CustomerID,RegulationType,ComplianceStatus,ReviewDate,Country,PenaltyAmount,NextReviewDate
COMP1000,CUST210,MiFID II,Non-Compliant,2022-12-30,UK,0.0,2024-12-02
COMP1001,CUST677,GDPR,Non-Compliant,2022-08-26,UK,27412.67,2025-06-13
COMP1002,CUST665,KYC,Compliant,2022-12-12,USA,0.0,2024-02-12
COMP1003,CUST491,GDPR,Non-Compliant,2022-12-13,Germany,0.0,2024-10-02
COMP1004,CUST954,KYC,Under Review,2022-08-03,Australia,7712.57,2023-07-08
COMP1005,CUST353,GDPR,Compliant,2022-12-31,France,36426.0,2024-06-12
COMP1006,CUST629,Sarbanes-Oxley,Non-Compliant,2022-02-19,Germany,0.0,2025-05-23
COMP1007,CUST210,AML,Under Review,2022-12-03,USA,43454.35,2024-05-19
COMP1008,CUST615,AML,Compliant,2022-10-26,Australia,0.0,2024-07-16
COMP1009,CUST765,Sarbanes-Oxley,Compliant,2022-06-13,USA,20503.36,2023-08-02
COMP1010,CUST729,GDPR,Under Review,2022-12-12,USA,20150.0,2023-12-04
COMP1011,CUST869,MiFID II,Under Review,2022-05-10,USA,0.0,2023-06-26
COMP1012,CUST532,AML,Non-Compliant,2022-02-16,Germany,20556.05,2024-01-10
COMP1013,CUST344,GDPR,Compliant,2022-08-08,France,0.0,2024-02-26
COMP1014,CUST577,GDPR,Under Review,2022-05-27,UK,0.0,2024-11-14
COMP1015,CUST344,MiFID II,Compliant,2022-10-24,UK,32274.54,2025-03-12
COMP1016,CUST970,GDPR,Under Review,2022-06-28,Australia,6347.42,2025-10-29
COMP1017,CUST839,GDPR,Compliant,2022-09-15,Germany,49626.29,2025-10-22
COMP1018,CUST679,AML,Under Review,2022-01-19,USA,0.0,2023-02-13
COMP1019,CUST393,Sarbanes-Oxley,Non-Compliant,2022-10-13,France,0.0,2024-08-06
COMP1020,CUST422,GDPR,Compliant,2022-10-03,UK,7509.17,2025-07-24
COMP1021,CUST786,GDPR,Compliant,2022-06-07,France,0.0,2023-12-27
COMP1022,CUST616,GDPR,Non-Compliant,2022-01-27,Australia,46971.22,2024-02-20
COMP1023,CUST281,MiFID II,Non-Compliant,2022-05-09,France,0.0,2024-05-01
COMP1024,CUST859,GDPR,Non-Compliant,2022-07-31,UK,0.0,2024-07-15
COMP1025,CUST204,Sarbanes-Oxley,Non-Compliant,2022-09-11,Germany,0.0,2023-12-25
COMP1026,CUST223,KYC,Compliant,2022-11-10,Germany,0.0,2023-01-23
COMP1027,CUST392,GDPR,Non-Compliant,2022-02-15,Germany,45132.26,2025-09-06
COMP1028,CUST587,MiFID II,Under Review,2022-05-04,France,0.0,2025-04-20
COMP1029,CUST388,KYC,Compliant,2022-09-10,UK,0.0,2025-05-25
COMP1030,CUST224,MiFID II,Under Review,2022-01-01,Australia,18766.59,2023-11-22
COMP1031,CUST734,GDPR,Under Review,2022-11-25,Germany,0.0,2023-09-14
COMP1032,CUST816,GDPR,Compliant,2022-06-24,France,0.0,2023-01-28
COMP1033,CUST469,AML,Under Review,2022-07-14,Australia,18007.49,2025-03-03
COMP1034,CUST833,Sarbanes-Oxley,Compliant,2022-05-26,Germany,25421.98,2024-03-08
COMP1035,CUST614,MiFID II,Under Review,2022-01-28,Australia,41783.7,2023-07-31
COMP1036,CUST247,GDPR,Compliant,2022-10-23,Australia,37892.37,2023-05-09
COMP1037,CUST699,MiFID II,Under Review,2022-07-10,France,0.0,2025-07-10
COMP1038,CUST176,AML,Compliant,2022-02-19,France,40539.97,2025-02-22
COMP1039,CUST980,AML,Compliant,2022-12-06,UK,0.0,2024-10-29
COMP1040,CUST605,MiFID II,Non-Compliant,2022-04-24,USA,0.0,2024-12-04
COMP1041,CUST214,MiFID II,Non-Compliant,2022-02-08,UK,43978.64,2023-06-19
COMP1042,CUST424,AML,Under Review,2022-07-06,France,36850.31,2024-04-05
COMP1043,CUST968,MiFID II,Non-Compliant,2022-01-15,USA,3633.5,2024-12-03
COMP1044,CUST716,KYC,Non-Compliant,2022-08-23,Australia,22634.9,2023-06-01
COMP1045,CUST460,KYC,Compliant,2022-01-21,Australia,0.0,2025-03-13
COMP1046,CUST193,KYC,Under Review,2022-05-29,Germany,11461.22,2025-08-03
COMP1047,CUST273,GDPR,Non-Compliant,2022-05-23,UK,0.0,2023-09-10
COMP1048,CUST387,AML,Under Review,2022-07-06,France,29526.84,2023-12-15
COMP1049,CUST394,MiFID II,Compliant,2022-04-02,France,0.0,2024-03-01
COMP1050,CUST677,GDPR,Under Review,2022-10-10,UK,2226.86,2025-04-16
COMP1051,CUST121,KYC,Non-Compliant,2022-11-30,UK,10295.24,2025-08-29
COMP1052,CUST600,MiFID II,Under Review,2022-12-17,France,36456.87,2025-04-15
COMP1053,CUST677,KYC,Compliant,2022-09-09,USA,6430.3,2023-08-28
COMP1054,CUST670,Sarbanes-Oxley,Non-Compliant,2022-08-01,Germany,33646.89,2023-06-09
COMP1055,CUST720,MiFID II,Compliant,2022-06-26,Germany,40374.94,2024-05-22
COMP1056,CUST221,KYC,Compliant,2022-02-09,Australia,10484.93,2025-07-28
COMP1057,CUST997,Sarbanes-Oxley,Under Review,2022-08-03,UK,0.0,2023-02-02
COMP1058,CUST341,KYC,Non-Compliant,2022-10-02,France,0.0,2023-03-15
COMP1059,CUST171,Sarbanes-Oxley,Compliant,2022-06-11,France,37809.19,2025-10-28
COMP1060,CUST271,KYC,Non-Compliant,2022-05-16,France,0.0,2024-12-25
COMP1061,CUST138,KYC,Non-Compliant,2022-11-19,UK,0.0,2024-06-20
COMP1062,CUST979,KYC,Compliant,2022-08-19,UK,18006.07,2023-05-10
COMP1063,CUST415,GDPR,Compliant,2022-04-17,UK,0.0,2025-04-22
COMP1064,CUST159,Sarbanes-Oxley,Compliant,2022-10-14,USA,19680.93,2024-06-20
COMP1065,CUST115,Sarbanes-Oxley,Compliant,2022-02-13,USA,48215.73,2024-02-16
COMP1066,CUST480,GDPR,Compliant,2022-11-12,France,0.0,2023-11-24
COMP1067,CUST669,GDPR,Under Review,2022-10-02,France,20757.61,2023-02-14
COMP1068,CUST348,MiFID II,Compliant,2022-07-07,Australia,0.0,2023-10-18
COMP1069,CUST101,Sarbanes-Oxley,Under Review,2022-05-26,Australia,0.0,2025-01-17
COMP1070,CUST155,GDPR,Compliant,2022-03-04,Germany,34474.84,2023-08-26
COMP1071,CUST328,AML,Compliant,2022-08-17,France,0.0,2024-01-04
COMP1072,CUST280,KYC,Under Review,2022-07-10,UK,49117.11,2023-10-05
COMP1073,CUST408,GDPR,Compliant,2022-10-27,France,33244.81,2024-11-26
COMP1074,CUST583,Sarbanes-Oxley,Compliant,2022-02-26,USA,42525.31,2023-01-14
COMP1075,CUST129,GDPR,Under Review,2022-12-28,France,23966.33,2025-10-11
COMP1076,CUST584,AML,Non-Compliant,2022-01-07,USA,0.0,2025-03-07
COMP1077,CUST111,AML,Under Review,2022-03-01,Australia,0.0,2024-12-19
COMP1078,CUST531,GDPR,Compliant,2022-03-19,USA,42553.82,2024-01-26
COMP1079,CUST322,AML,Compliant,2022-01-22,USA,34133.59,2023-10-03
COMP1080,CUST661,MiFID II,Under Review,2022-07-23,USA,3013.93,2025-06-30
COMP1081,CUST201,KYC,Under Review,2022-01-14,USA,0.0,2025-06-19
COMP1082,CUST980,KYC,Non-Compliant,2022-03-09,France,4663.29,2024-10-05
COMP1083,CUST416,MiFID II,Compliant,2022-09-12,USA,26591.91,2023-03-08
COMP1084,CUST677,KYC,Non-Compliant,2022-03-16,Australia,0.0,2023-01-12
COMP1085,CUST490,GDPR,Compliant,2022-03-25,USA,2321.5,2024-09-22
COMP1086,CUST810,MiFID II,Under Review,2022-03-03,Australia,0.0,2023-07-27
COMP1087,CUST626,GDPR,Non-Compliant,2022-11-18,UK,0.0,2025-06-25
COMP1088,CUST343,Sarbanes-Oxley,Non-Compliant,2022-12-08,Germany,0.0,2024-11-10
COMP1089,CUST170,MiFID II,Under Review,2022-08-20,Germany,0.0,2023-04-16
COMP1090,CUST214,GDPR,Non-Compliant,2022-05-31,UK,1353.6,2024-01-03
COMP1091,CUST293,GDPR,Compliant,2022-10-07,UK,1894.9,2023-10-21
COMP1092,CUST807,Sarbanes-Oxley,Non-Compliant,2022-10-19,Australia,18425.04,2024-06-14
COMP1093,CUST929,KYC,Under Review,2022-11-22,UK,0.0,2025-07-07
COMP1094,CUST627,Sarbanes-Oxley,Under Review,2022-11-16,USA,0.0,2024-11-16
COMP1095,CUST673,MiFID II,Under Review,2022-03-22,Australia,27727.83,2025-12-07
COMP1096,CUST429,AML,Compliant,2022-02-11,France,0.0,2025-04-12
COMP1097,CUST984,AML,Under Review,2022-07-31,Germany,44045.44,2024-03-23
COMP1098,CUST337,KYC,Under Review,2022-01-07,Germany,29089.28,2023-04-05
COMP1099,CUST565,Sarbanes-Oxley,Compliant,2022-07-16,Germany,7044.93,2025-02-25
