RiskID,CustomerID,RiskType,RiskScore,ExposureAmount,MitigationActions,ReviewDate,RiskStatus
RISK100,CUST997,Market Risk,3,17525.24,Hedging,2022-11-26,Active
RISK101,CUST903,Credit Risk,5,683300.12,Hedging,2022-09-23,Active
RISK102,CUST500,Liquidity Risk,7,625523.78,Hedging,2022-11-15,Mitigated
RISK103,CUST604,Credit Risk,9,606586.15,None,2022-09-04,Closed
RISK104,CUST204,Credit Risk,3,302910.64,None,2022-12-17,Active
RISK105,CUST124,Operational Risk,3,284727.51,Hedging,2022-03-18,Active
RISK106,CUST391,Operational Risk,7,574574.13,Insurance,2022-02-27,Closed
RISK107,CUST207,Credit Risk,1,477076.8,Insurance,2022-03-03,Mitigated
RISK108,CUST166,Credit Risk,7,950275.45,None,2022-07-18,Closed
RISK109,CUST214,Credit Risk,6,93189.02,Diversification,2022-06-19,Active
RISK110,CUST204,Market Risk,1,378380.32,Hedging,2022-02-13,Closed
RISK111,CUST197,Operational Risk,2,667261.53,Hedging,2022-08-09,Closed
RISK112,CUST603,Liquidity Risk,3,167359.11,None,2022-09-29,Mitigated
RISK113,CUST945,Market Risk,5,550876.96,Diversification,2022-03-01,Closed
RISK114,CUST462,Liquidity Risk,10,363108.99,Diversification,2022-05-13,Mitigated
RISK115,CUST111,Market Risk,10,251810.84,None,2022-12-13,Mitigated
RISK116,CUST107,Credit Risk,3,302327.77,Hedging,2022-11-19,Active
RISK117,CUST868,Market Risk,10,671056.99,Hedging,2022-06-22,Mitigated
RISK118,CUST222,Operational Risk,8,838789.64,None,2022-03-20,Closed
RISK119,CUST281,Market Risk,6,821441.54,Diversification,2022-02-09,Active
RISK120,CUST148,Operational Risk,2,766990.81,Hedging,2022-08-21,Closed
RISK121,CUST710,Market Risk,10,498855.83,Diversification,2022-12-04,Active
RISK122,CUST145,Liquidity Risk,3,456435.08,Hedging,2022-08-12,Active
RISK123,CUST376,Market Risk,7,589907.06,Diversification,2022-02-05,Closed
RISK124,CUST249,Credit Risk,1,500868.85,Insurance,2022-12-25,Mitigated
RISK125,CUST568,Operational Risk,4,476071.64,None,2022-10-02,Closed
